policy,date,issue_hour,horizon_intervals,milp_objective_yuan,lp_lower_bound_yuan,milp_minus_lp_yuan,lp_max_primal_violation,runtime_seconds,passed
fixed_w14,2025-04-01,0,144,38225.26390734498,38225.263907344975,7.275957614183426e-12,4.547473508864641e-13,0.00509908299864037,True
fixed_w14,2025-04-01,6,108,30686.06428845255,30686.064288452555,-3.637978807091713e-12,4.547473508864641e-13,0.004832375001569744,True
fixed_w14,2025-04-01,12,72,26017.703256684952,26017.703256684952,0.0,4.547473508864641e-13,0.00328220800292911,True
fixed_w14,2025-04-01,18,36,15217.590118241167,15217.590118241165,1.8189894035458565e-12,4.547473508864641e-13,0.0020082919945707545,True
fixed_w14,2025-06-21,0,144,19731.55123761751,19731.55123761751,0.0,9.094947017729282e-13,0.0042715829986264,True
fixed_w14,2025-06-21,6,108,15796.13798856794,15796.137988567938,1.8189894035458565e-12,9.094947017729282e-13,0.004511790997639764,True
fixed_w14,2025-06-21,12,72,16003.779590574071,16003.77959057407,1.8189894035458565e-12,9.094947017729282e-13,0.00320175000524614,True
fixed_w14,2025-06-21,18,36,12915.262795663097,12915.262795663095,1.8189894035458565e-12,1.8189894035458565e-12,0.001788708999811206,True
fixed_w14,2025-09-23,0,144,40814.65886225238,40814.65886225237,7.275957614183426e-12,1.8189894035458565e-12,0.004422250000061467,True
fixed_w14,2025-09-23,6,108,29229.058632768963,29229.058632768967,-3.637978807091713e-12,4.547473508864641e-13,0.00474562499584863,True
fixed_w14,2025-09-23,12,72,27423.74082813202,27423.740828132017,3.637978807091713e-12,1.7053025658242404e-13,0.0031915839936118573,True
fixed_w14,2025-09-23,18,36,17777.167656888538,17777.167656888538,0.0,1.7053025658242404e-13,0.0018053749954560772,True
fixed_w14,2025-12-21,0,144,60006.73681381282,60006.73681381281,1.4551915228366852e-11,9.094947017729282e-13,0.004468708000786137,True
fixed_w14,2025-12-21,6,108,46024.14944191033,46024.14944191031,2.1827872842550278e-11,9.094947017729282e-13,0.004549083001620602,True
fixed_w14,2025-12-21,12,72,35681.690782475765,35681.69078247577,-7.275957614183426e-12,9.094947017729282e-13,0.0032879589998628944,True
fixed_w14,2025-12-21,18,36,14484.555482997801,14484.555482997805,-3.637978807091713e-12,9.094947017729282e-13,0.0018510829977458343,True
